cluster,n_cells,lon,lat,hcho_mean,hcho_max,frp_mean,evi,source,source_detail
1,12,76.16666666666667,29.958333333333332,2.377677e+16,2.8457448e+16,214.60205078125,0.38993600010871887,agri_burning,indo_gangetic_plain
4,5,80.85,26.75,1.6678619e+16,1.7384066e+16,2.6675323644158656e-18,0.3384608328342438,other,
2,2,81.5,29.0,1.3508363e+16,1.3753856e+16,5.967479333057584e-20,0.46959173679351807,biogenic,
10,4,82.875,22.5,1.3244697e+16,1.3519353e+16,0.0,0.45521560311317444,industrial,korba_singrauli
8,2,86.5,23.5,1.2426983e+16,1.2788019e+16,2.6950116375797236e-22,0.3713838458061218,industrial,jharkhand
7,2,77.25,24.75,1.2131172e+16,1.2407408e+16,1.3213305349944484e-17,0.4182320237159729,biogenic,
6,5,92.65,25.05,1.0191457e+16,1.117224e+16,60.19377136230469,0.5483422875404358,other,
9,8,73.375,22.0625,1.010804e+16,1.1064991e+16,0.0,0.3406274914741516,industrial,gujarat_belt
5,4,94.0,26.5,1.0023517e+16,1.0487719e+16,50.4075927734375,0.5521671175956726,other,
3,2,88.25,28.75,9.833058e+15,1.008317e+16,4.878726762474243e-19,0.49254700541496277,biogenic,
11,5,88.95,22.55,9.80878e+15,1.0929738e+16,1.8302280264254067e-12,0.313080370426178,other,
14,4,78.375,17.75,9.683272e+15,9.935078e+15,0.0,0.3959328830242157,other,
0,2,81.0,35.0,9.381072e+15,9.584381e+15,5.983544442666969e-43,0.4457346498966217,biogenic,
13,4,73.0,19.0,8.548864e+15,8.8596516e+15,0.0,0.3541717827320099,urban,mumbai
12,2,87.75,20.25,8.3526366e+15,8.5723505e+15,4.116707756195528e-29,0.31818899512290955,other,
